50																																																	
0	-3	20	19	-6	20	1	11	-14	-18	17	-11	19	12	10	7	-2	1	6	-14	-4	19	-1	14	8	2	-2	6	10	-19	-7	-14	-8	-14	-6	-13	11	-10	20	10	6	-18	19	-17	13	-2	-4	5	8	11
-19	0	-5	16	-16	18	18	-15	9	11	19	12	14	1	6	-9	-10	6	3	-9	14	-11	11	-16	10	-9	7	-16	-9	-10	2	10	-7	7	-12	9	-6	-8	-9	5	-5	18	4	0	-5	3	-10	-6	6	5
2	0	0	8	8	-8	-12	-12	-19	16	15	-19	-16	-1	-8	2	8	17	1	-15	13	-1	-17	14	-1	17	-16	12	-10	-5	9	-7	11	7	17	-18	18	6	-18	-5	-17	-7	15	17	6	18	-4	-12	3	9
14	0	-5	0	-10	12	13	-9	1	-13	11	1	10	7	20	-19	17	-2	10	-16	20	16	-13	1	15	20	4	20	-4	-18	19	-2	-4	-11	4	-3	5	11	-1	19	9	-17	16	10	11	-16	-1	-11	-1	7
-1	6	0	-13	0	17	-1	6	-9	9	7	-3	-5	-8	-3	13	-3	9	8	-5	-2	20	-2	12	14	-8	20	-1	-6	4	-4	-6	10	14	-5	9	18	15	-3	17	1	0	-6	-19	-2	-16	17	-8	16	-1
-3	-1	19	1	-15	0	17	-10	15	-2	-12	-6	3	10	-17	-16	15	10	-12	13	3	-7	17	12	-13	10	15	20	-15	17	5	-2	12	17	17	-2	6	-12	1	18	-8	10	-1	-11	-9	3	19	18	-1	7
-19	-11	-19	-18	-17	1	0	-11	13	-9	-7	12	10	-14	0	0	-11	-14	16	4	19	-13	-7	-4	16	7	20	-16	16	-17	18	2	-4	5	20	14	19	-10	-3	18	11	-10	17	1	-7	6	19	10	-9	-8
14	17	5	-8	13	-12	13	0	-7	-3	-7	-11	2	-6	-6	-19	10	12	19	16	-4	14	-10	-19	-14	11	-13	-12	-2	-10	16	-10	6	-11	15	-4	-3	18	19	6	8	-15	20	-2	18	16	4	-1	16	-5
11	12	16	-10	12	-17	3	-15	0	0	8	14	-18	7	-5	20	2	0	-4	-18	-5	-3	3	-16	18	-10	0	-6	6	-15	15	5	-8	-3	1	7	10	0	4	10	13	8	9	6	19	20	-8	17	-19	17
0	5	-5	10	-11	0	-18	-3	12	0	-8	-16	13	-6	13	13	5	19	-12	10	-4	-14	18	13	-10	-17	-8	5	8	-12	1	15	20	10	13	-1	-16	-18	5	13	-12	-10	5	-17	-6	-4	-13	2	-4	-2
12	-4	2	-5	13	-4	-16	-13	19	16	0	1	-14	11	-11	-12	8	-6	-1	8	16	-18	-12	15	-1	4	18	-9	6	14	-1	-1	-15	-10	5	17	10	-14	17	-12	-1	20	7	13	-8	-9	-11	-4	-6	-8
-9	-13	0	-6	-17	9	-9	7	-2	-2	11	0	-3	-5	8	6	12	-11	19	-19	-15	4	-17	-15	18	3	-6	-15	0	-11	-4	11	11	15	15	-14	11	-5	-4	-7	17	-7	-12	10	-16	-19	5	13	17	18
-12	-18	-1	-17	-19	-6	3	-1	11	-15	15	13	0	-1	-5	-13	-16	14	13	4	9	19	-17	-4	13	6	-4	4	2	19	-13	-10	13	-17	3	-3	-8	-11	-10	-9	11	-15	-17	13	-1	-4	20	4	5	7
7	19	15	18	-6	15	6	-10	18	5	15	9	16	0	9	-3	-19	-8	18	-3	16	-4	-15	-15	-6	20	-10	9	5	-15	19	7	-3	16	15	11	-10	-7	12	-11	3	14	-5	-17	13	18	-9	-7	11	-14
-18	-7	6	18	7	-4	13	14	7	-10	-6	-4	-2	-1	0	-18	11	-6	-8	16	12	-14	11	-17	-11	5	-17	-2	11	11	-13	-5	15	-10	2	0	-6	-6	6	14	-6	9	-16	-11	2	6	-17	-3	-14	-1
19	-3	-15	-1	-18	18	20	-11	9	11	13	-6	-16	-15	7	0	-13	2	-5	18	10	12	1	7	-10	-14	-5	15	-11	-18	-6	3	-13	-11	-10	-3	9	-18	-18	1	0	3	19	-2	-10	7	-17	-18	-11	2
4	-6	-19	-4	4	3	0	-18	20	9	-4	17	9	1	14	9	0	1	-14	5	16	-8	-17	4	17	-8	20	7	16	20	-5	5	-16	-15	-15	-15	-6	-12	-4	-2	0	12	13	13	-7	11	17	14	-18	14
-14	2	-18	-11	-2	5	9	12	-7	4	-15	-17	-9	-5	-15	-14	6	0	-19	-19	-19	18	-14	16	13	2	-15	-14	-11	-1	2	19	14	8	-3	8	1	12	-7	7	-7	-14	-13	3	16	11	-3	-7	-7	1
15	-7	-13	1	20	-3	-10	-17	-2	-17	-4	8	-13	-6	-16	18	-18	5	0	-17	7	-3	-17	7	11	-8	-17	9	-10	8	-9	4	-18	20	9	-18	13	9	-4	-3	1	-5	-13	4	4	12	12	-14	0	6
-8	16	-16	5	-18	-13	-9	-3	-14	19	4	1	12	-14	-8	-12	19	11	-14	0	10	3	3	-13	-13	-19	-13	-10	-8	18	-15	4	-6	2	-6	-3	-3	0	6	13	-5	-10	4	19	-13	-16	8	0	17	-16
-3	0	-2	-11	-12	-3	13	1	-14	-4	-17	6	8	18	-2	-1	-9	19	-18	13	0	-17	-18	14	10	-14	7	19	2	1	-7	20	-18	16	-6	20	17	-10	17	-9	-9	-17	7	-5	1	-17	-10	-4	9	-2
-14	-11	2	18	-7	15	-17	-12	14	1	-15	18	13	2	-1	17	-5	10	-5	19	-13	0	13	5	14	5	-17	5	7	-6	12	18	-9	6	-11	8	19	-7	-14	13	17	-7	-1	-8	-11	-6	14	0	14	13
6	8	7	6	-6	3	-4	15	-1	-13	-19	-1	13	-12	-12	-12	15	-9	-19	8	-5	2	0	-5	13	-6	-9	-7	3	14	-18	20	8	-14	1	9	-3	2	10	-12	17	18	-3	20	4	8	16	-4	20	13
7	16	17	-1	-6	19	16	15	14	-15	16	-1	18	0	-15	-10	-5	-1	18	-17	-19	20	-6	0	11	7	-15	-10	2	16	-13	-6	-12	7	10	10	-14	-5	11	-7	-6	-16	-8	-14	18	7	-15	6	0	17
-15	-18	14	6	6	9	9	6	18	-4	1	-14	-6	-17	-11	0	-17	-3	-16	13	-17	10	-19	8	0	1	-15	-18	2	17	-10	-14	6	12	5	-8	-18	-10	18	-7	-2	6	-8	-10	-12	-7	20	11	13	8
-14	5	0	12	-4	-6	-3	7	7	-5	-12	4	20	0	18	11	2	-15	-4	16	-19	2	14	-4	14	0	-18	5	3	-17	5	6	19	18	-15	-5	3	14	-9	-19	-4	-1	13	17	10	-15	15	16	-6	4
20	-10	13	15	-6	-1	8	-5	3	9	-11	4	-10	14	19	15	4	19	-9	2	8	-4	13	-14	3	3	0	-8	-6	-9	-7	-15	8	11	18	17	-10	12	8	-16	6	18	-7	10	18	8	9	-18	-12	-10
19	-7	-5	8	-18	-16	14	19	6	14	0	-4	18	-13	16	-5	-14	-8	-4	-1	-18	16	-4	-16	15	-16	-5	0	9	8	2	-6	-17	-1	1	5	-13	-8	-7	-3	-13	-1	11	19	1	-1	-10	-13	-7	-10
16	-15	16	19	12	-10	-14	0	-4	-5	-9	-7	-12	15	3	-1	-7	5	7	-7	-8	-13	3	7	-16	-8	6	-8	0	7	17	15	-2	6	-1	-6	-4	0	11	-18	-8	-14	-8	0	-3	0	-3	-12	6	-9
-19	7	0	11	-13	-19	-8	11	-6	-17	-16	-19	-8	-19	-16	-12	20	2	-17	-7	-6	-19	17	20	-7	15	-5	-2	18	0	2	8	16	13	6	-18	-17	20	-9	19	-7	18	-13	-10	-6	9	-11	-11	20	-18
-11	19	15	14	-13	-18	10	12	14	14	16	4	-5	-13	-14	4	10	4	1	-5	17	17	-16	13	12	-2	18	-17	1	9	0	-4	-19	11	13	-12	6	20	3	16	-18	-12	5	0	18	-1	2	-8	18	8
